"Business Name","Website","Phone","Redeem Type"
"מגה ספורט","https://www.megasport.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-70-50-40","Online"
"מגוון מותגי קבוצת קסטרו הודיס","https://www.castro.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"," 077-6051889 ","In-store"
"מגוון מותגי קבוצת FOX","https://www.dreamcard.co.il/","03-9051740","In-store"
"מגוון מותגי קבוצת H&M","http://www.hm.com/il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-5909957","In-store"
"מגוון מלונות אפריקה ישראל","https://www.afi-hotels.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","3993","In-store"
"מדיטק חולון","https://buyme.co.il/page/889","03-5021552","In-store"
"מדילנד","https://mediland.co.il/","03-5527985","In-store"
"מוזיאון יעקב אגם","http:// https://yama.smarticket.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-5555-900","In-store"
"מועדון הגולף קיסריה","http://www.caesarea.com/he/home/tourism/golf-club","*6550 ","In-store"
"מועדון היין","https://wine-club.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps%3A%2F%2Fwlovep.com%2Fhttps%3A%2F%2Fwomancosmetics.co.il%2Fhttp%3A%2F%2Fwww.y-not.co.il%2F&gad_campaignid=18995025574&gbraid=0AAAAADq6uPVqU-icTS0VKm3OXq7OanVvn&gclid=CjwKCAjw6eWnBhAKEiwADpnw9jfAVRgJOkWB6d1ctq6QSsc8aBwBWchMEU0U5-j0ziX8TpfowW5UwxoCuKoQAvD_BwE&utm_content=749239772106&utm_term=shape%20patissier&gad_source=1&client=safari&hs=nWj9&sca_esv=d33f661f42c9ee99&hl=en-il&ei=44hSaYLvBLm29u8P8JisqQ4&oq=OPA&gs_lp=EhNtb2JpbGUtZ3dzLXdpei1zZXJwIiHXoNeV16TXqCDXnteV16gg15vXqteV15HXqiDXkNeq16gyBRAhGKABMgUQIRigATIFECEYnwUyCBAAGIAEGKIEMgUQABjvBTIFEAAY7wUyBRAAGO8FSKkSUOwEWOQPcAJ4AZABAJgBzgGgAe8NqgEFMC45LjG4AQPIAQD4AQGYAgugAqgNwgIKEAAYsAMY1gQYR8ICBxAAGIAEGBPCAgYQABgWGB7CAggQABgWGAoYHsICBBAhGBWYAwCIBgGQBgiSBwUyLjcuMqAHjC2yBwUwLjcuMrgHiQ3CBwkwLjEuNy4yLjHIB0qACAA&sclient=mobile-gws-wiz-serp&mstk=AUtExfCGN4p27k8PiQG0t6WU3TO70YJDZ78NHWntwg99jVyVGZ8IBpZp4eOc7PWILQfecihFAl_7Z2pmCnfC31RtRizwuq-9ajr9VI_gVXE_DkgKIUYHADivH1It4xJVwOIpey4&csui=3&ved=2ahUKEwiE7bWR-uKRAxUnm_0HHQsLGmsQgK4QegQIARAB&rlz=1C1CHZN_enIL1140IL1140&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgoIARAAGLEDGIAEMg0IAhAAGIMBGLEDGIAEMgcIAxAAGIAEMgYIBBBFGDwyBggFEEUYPTIGCAYQRRg9MgYIBxBFGDzSAQc4NTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8https%3A%2F%2Fotilyas.com%2Fhehttps%3A%2F%2F925panda.co.il%2Fhttps%3A%2F%2Fwww.paraplu-art.com%2Fhttps%3A%2F%2Fpelle-sg.co.il%2F%3Futm_source%3Dgoogle&gadid=740801971906#https://www.zappa-club.co.il/https://leptin4life.com/?_gl=1%2A1l9bjkr%2A_up%2AMQ..&gclid=Cj0KCQiA88a5BhDPARIsAFj595jBGB3uTXHOElJKQQ58Eg9SWy75EziDkNQg5Pc1tCO4XKklazZgsaUaAk_qEALw_wcB&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps://agadir.co.ilhttps://ofiyaa-israel.com/https://www.b-shvilenu.co.il/collections/ecolove?gad_source=1&gclid=Cj0KCQiAkoe9BhDYARIsAH85cDMve7xEYnE9zIjc_Geu4Krcz61nLq5s4fsIOcn-Zj7gZ3E9joa764UaAoD1EALw_wcBhttps://oriaazran.com/https://www.eshkar.shop/https://bone-street.com/?gad_source=1&gbraid=0AAAAAqv_rhb-Kq0dzec6mGOjXnA-ubbNn&gclid=Cj0KCQjwzrzABhD8ARIsANlSWNML6QFWqDsUvLTr2S8uDcuHh--WN91yxm6_HpPF-Scnj2t0gcydsrkaAvAnEALw_wcBhttps://www.boaz-stein.com/https://beerlich.com/https://www.baritalia.co.il/https://www.dr-gav.co.il/?utm_source=&utm_medium=&utm_campaign=https://daniboy.co.il/https://lieleli.co.il/http://www.galsbakery.co.il/https://hagitassa.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps://translate.google.com/?hl=iwhttps://www.teimim.com/https://www.yaarit-jewelry.com/collections/earrings?srsltid=AfmBOopFmRLQFvy2Wl3qZpRX3nUNlAKH3R34LxDsCwkaZFCWi3r4F_f6&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referralhttps://www.benzimrawinery.com/https://wine-club.co.il/","055-9949970","Online"
"מועדון לב הים","http://www.levyam.co.il/","03-5224079","In-store"
"מוצצים","https://motsesim.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","086269451","Online"
"מושלמת","https://www.xn--9dboec7ci.co.il/","03-9220810","In-store"
"מותגי קבוצת INTER JEANS","https://www.nine72.com/?srsltid=AfmBOopyp2sN05icymrKiogQhU4dcuVRexrEaxmD8bvCXSrzLOXuK5ff","074-7695903","In-store"
"מותק","https://chocolateworkshop.co.il/","054-871-9606","In-store"
"מזיגה חופשית","http://www.DrinkTLV.co.il","058-787-5050","In-store"
"מזרני Camp David","http://campdavid.co.il/","08-9327799","In-store"
"מחבואים בחשיכה","http://www.machboim.co.il/","03-7220010","In-store"
"מחסן גיטרות","http://www.guitar-s.co.il/#/","053-2007007","In-store"
"מטאור","https://www.meteor-stars.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","055-9866244","In-store"
"מטיילים עם עדן","http://eden-tours.co.il","054-6868291","In-store"
"מטרונום סטודיו","http://www.metro-studio.co.il","050-5887871","In-store"
"מי קאסה","https://micasacafe.co.il/","09-9576721","In-store"
"מיה גלר","https://mayageller.com/he/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","035543034","Online"
"מיטחברת","https://www.mithaberet.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","072-2152511","In-store"
"מילאנו בייקרי","https://tabitisrael.co.il/tabit-order?siteName=MILANO&step=enter&utm_source=&utm_medium=&utm_campaign=","037779445","In-store"
"מילגה","https://www.milega.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","073-7073559","Online"
"מילה חיפה","https://milahotel.co.il/","051-5596776 ","In-store"
"מילק אנד האני","https://mh-distillery.com/he/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6320491","Online"
"מיני סטייליש","https://ministylish.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0547477296","Online"
"מכבי אסתטיקה","https://www.maccabiaesthetica.co.il/?utm_source=buyme&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","*5767","In-store"
"מלון אלמרה","https://almerahotel.com/he/hotels-in-bat-yam-israel/?gad_source=1&gad_campaignid=23487294413&gbraid=0AAAAA_ZdwJaOVFJejsk8haMNL1Xk7HUZx&gclid=Cj0KCQjwrZTRBhDSARIsAHidYff90ozD3Br5O9Ti25LCsBbrzFVn6abD9ZLakh4sk-UnmghpZ5USr8IaAvLcEALw_wcB&utm_source=&utm_medium=&utm_campaign=","074-7107770","In-store"
"מלון אמבסי","https://www.embassyhoteltelaviv.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6799999","In-store"
"מלון בוטיק דוריה","http://www.doriahotel.co.il/","050-9111414","In-store"
"מלון גורדון אין","http://www.hostelstelaviv.com/","03-5238239","In-store"
"מלון דניאל וספא שיזן הרצליה","http://www.tamareshotels.co.il","*5411","In-store"
"מלון האפנדי","https://efendi-hotel.co.il/","074-7299799","In-store"
"מלון הלני מלכה ירושלים","https://olive-heleni-hotel.com/","02-9950797","In-store"
"מלון ומוזיאון דונה גרציה","https://www.donagracia.com/","04-6717176","In-store"
"מלון וספא סינרגיה עין גדי","https://ngedi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","08-6594060","In-store"
"מלון טריאסטה בוטיק","http://triestetlv.com/il/home","050-9566956","In-store"
"מלון מולאן","https://mulanhotel.co.il/","037411102","In-store"
"מלון מטרו הרצליה","https://www.metroherzliya.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-9643000","In-store"
"מלון משכנות רות דניאל","http://mishkenot-jaffa.co.il/he/%D7%A6%D7%95%D7%A8-%D7%A7%D7%A9%D7%A8/","03-5264500","In-store"
"מלון נוף","https://www.nof-hotel.co.il/nof"," 04-8354311","In-store"
"מלון עדן אין","https://www.edeninn.co.il/","04-9123197","In-store"
"מלון פולי האוס","http:// https://www.afi-hotels.co.il/poli-house-hotel-tel-aviv","3993*","In-store"
"מלון פורט","https://www.porthotel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-5445544","In-store"
"מלון פרא","https://pereh.co.il/?utm_source=GMB&utm_medium=GOOGLE","077-3311222","In-store"
"מלון קוקו","https://7mindshotels.com/cucu-boutique-hotel-tel-aviv/","03-7755777","In-store"
"מלון רוקסון אורבן רמת גן","https://www.roxonhotels.co.il/roxon-urban-ramat-gan-hotel?refform=GMB","9410*","In-store"
"מלון רוקסון דזרט ערד","https://www.roxonhotels.co.il/roxon-desert-arad-hotel","9410*","In-store"
"מלון רוקסון סי סאנד בת ים","https://www.roxonhotels.co.il/roxon-sea-sand-bat-yam-hotel?reffrom=GMB","9410*","In-store"
"מלון רוקסון רד סי אילת","https://www.roxonhotels.co.il/roxon-red-sea-eilat-hotel ","9410*","In-store"
"מלון רמדה אוליבייה נצרת","https://www.roxonhotels.co.il/ramada-nazareth-hotel-deals?reffrom=google-ads-ramada-nazareth_il_he_brand&gad_source=1&gclid=CjwKCAiAk9itBhASEiwA1my_62OqbrdxeGpQPQCmIWzHbObf3XdhrRMNjj8SOnzdoSEldVBOOnb_2BoCApUQAvD_BwE","0542515548","In-store"
"מלון רנומה","https://renomahotel.com/","077-6140400","In-store"
"מלון רפאל האוס","https://rephaelhotel.co.il/","03-7794500","In-store"
"מלון שטרקמן ארנה","http://www.sernahotel.co.il/","04-9920170","In-store"
"מלון BY14","https://by14hotel.com/","03-6288886","In-store"
"מלון MOA","https://moa-living.co.il/","08-9496700","In-store"
"מלון SAUL","https://hotelsaul.com/he","03-5277700","In-store"
"מלון White Villa","http://whitevillahotel.com/","03-6028870","In-store"
"מלונות 7EVEN","https://www.7evenhotels.co.il/","073-3272272","In-store"
"מלונות אטלס","http://www.atlas.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-5425555","In-store"
"מלונות בראון מבית ישראל קנדה","http://www.brownhotels.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","9297*","In-store"
"מלונות ג'ייקוב","https://jacobhotels.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","04-8866705","In-store"
"מלונות גולדן קראון","https://www.goldencrown.co.il/","04-6000680","In-store"
"מלכת הבירה","https://www.queenbira.co.il/","053-4222456","In-store"
"ממבו מילאנו- מטבח איטלקי עכשווי","https://www.mambomilano.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","077-230-2550","In-store"
"ממילא ויו - אורבן","https://mamillaview.com/he/urban-mamilla-view-he/","050-2888012","In-store"
"ממילא ויו סוויטס","https://mamillaview.com/","050-2888012","In-store"
"מנד'ומה","https://www.manduma.co.il/","08-6684888","In-store"
"מנו ספנות","https://cruise.mano.co.il/index","*8288","In-store"
"מניקות עם עומר","https://menikot.co.il/?utm_source=&utm_medium=&utm_campaign=","ווטסאפ- 0586696015 ","In-store"
"מסעדות בנדיקט","http://www.benedict.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6868657","Online"
"מסעדות כרמים","http://cramimrest.co.il","08-8505859","In-store"
"מסעדת אגוסטין","https://www.facebook.com/people/Augustine-%D7%90%D7%92%D7%95%D7%A1%D7%98%D7%99%D7%9F/61559010277309/?mibextid=LQQJ4d","09-7497447","In-store"
"מסעדת אווזי - חיפה","https://avazeyhaifa.rest.co.il/?sessionReferrer=https://www.rest.co.il/","04-8406002","In-store"
"מסעדת אווזי שכונת התקווה תל אביב","https://avazihatikva.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","036879918","In-store"
"מסעדת אלנה במלון נורמן","https://www.thenorman.com/","03-5435400","In-store"
"מסעדת אסתר","http://www.ester-rest.co.il/","03-6325852","In-store"
"מסעדת ארסטו קיסריה","https://aresto-restaurant.co.il/","04-636-3456","In-store"
"מסעדת באבא יאגה","http://babayaga.co.il/","03-5175179","In-store"
"מסעדת בון גוסטו","https://buongusto.co.il/","0773034076","In-store"
"מסעדת בוצ'רי","https://www.butcheryb7.co.il/?gad_source=1&gad_campaignid=8174761861&gbraid=0AAAAAClPI0HLD8033nrkXIQ8X3dUmwSZL&gclid=CjwKCAjw1dLDBhBoEiwAQNRiQTzidhu2GXO_PVMpuEy8KyTgyLm0WD2cpVyI5dsje-pomtn8_k0KwRoC1OEQAvD_BwE","08-6233370","In-store"
"מסעדת בוצ'רי דה ברילוצ'ה","https://butchery.co.il/","077-5309700","In-store"
"מסעדת בלה בעמק","http://bellabaemek.co.il/","04-9830730","In-store"
"מסעדת ג'ורג' וג'ון","https://gandj.co.il/","03-726-9309","In-store"
"מסעדת גורג' אנד ברדרס","https://www.georgeandbrothers-tlv.com/","03-6167665","In-store"
"מסעדת גסטה","","04-8538222","In-store"
"מסעדת גשן","http://goshentlv.co.il/","03-5600766","In-store"
"מסעדת דולפין ים","https://seadolphin.co.il/","02-6232272","In-store"
"מסעדת דלאל","http://dallal.co.il/","03-5109292","In-store"
"מסעדת הספריה","https://hasifria.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","08-6655120","Online"
"מסעדת הצדף","https://www.zedef.co.il/","-","In-store"
"מסעדת חוות התבלינים בגלבוע","http://www.herb-farm.co.il/","04-6531093","In-store"
"מסעדת חנדלה","http://www.hendale.co.il","09-7603647","In-store"
"מסעדת טגלוס","https://www.facebook.com/tagalos1/","07-65394469","In-store"
"מסעדת טלביה","https://www.talbiye.com/","02-5811927","In-store"
"מסעדת יפו תל אביב","http://www.yaffotelaviv.com/","03-6249249","In-store"
"מסעדת לה שוק","http://www.la-shuk.co.il/","03-6033117","In-store"
"מסעדת לוצ'נה","https://luciana.co.il/","02-5021000","In-store"
"מסעדת לוקס","http://www.luxhaifa.co.il","077-2060970","In-store"
"מסעדת מונא","https://he-il.facebook.com/monajerusalem/","02-6222283","In-store"
"מסעדת מינאטו","http://www.minato.co.il","09-7731703","In-store"
"מסעדת סופר המזרח","https://superhamizrah.co.il/","026237190","In-store"
"מסעדת סמוראיו","https://www.samurayo.co.il/","04-6593322","In-store"
"מסעדת פדריק","http://www.fedrik.co.il/","08-856-0644","In-store"
"מסעדת פוקצ'ה במושבה","http://m.focaccia.co/index.php?p=restaurant","02-5387182","In-store"
"מסעדת פיאצה גרנדה","https://ontopo.com/he/il/page/35062989?source=google","03-6714653","In-store"
"מסעדת פימפינלה","https://www.pimpinella.co.il/","0547094407","In-store"
"מסעדת פינתי כפר עציון","https://www.pinati-etzion.com/","073-3322202","In-store"
"מסעדת פראטלי","https://fratellirest.co.il/","09-8787690","In-store"
"מסעדת פרינג'","https://www.fringe-restaurant.com/","02-6499549","In-store"
"מסעדת קיצ׳וקאי","https://www.cichukai.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-473-3182","In-store"
"מסעדת קסיס","http://www.cassis.co.il","03-575-3745","In-store"
"מסעדת קפטן הוק","https://captainhook.co.il/","03-6445440","In-store"
"מסעדת קרודו חיפה","https://www.crudohaifa.co.il/?source=google&utm_id=20308607948&utm_term=%D7%A7%D7%A8%D7%95%D7%93%D7%95%20%D7%97%D7%99%D7%A4%D7%94&gad_source=1&gad_campaignid=20308607948&gbraid=0AAAAAp2AyOJYfQhJpU-_Yibcuiz-YR24R&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeZIQ02CfsYIuZlP58QDuHfTUQxkmzl8MwG8CjbsYFdumqhr9dBjjlhoCgqkQAvD_BwE","077-4990499","In-store"
"מסעדת רוז'","https://pereh.co.il/culinary/","054-9935431","In-store"
"מסעדת רשטא","http://reshta.co.il/","02-9948520","In-store"
"מסעדת שופן","http://shufan-dev.wp.2eat.co.il/","08-6281291","In-store"
"מסעדת שטרודל","https://shtroudl.rest.co.il/","053-9344986","In-store"
"מסעדת שצ'ופק","http://www.shtsupak.co.il","03-5441973","In-store"
"מסעדת תריסר","https://www.treysar12.com/","074-7585353","In-store"
"מסעדת a","https://www.arestaurant.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","074-758-8818","In-store"
"מסעדת Donna La Cucina","https://ontopo.com/he/il/page/58480575","03-5034898","In-store"
"מסעדת JOY גריל האוס","","02-5020555","In-store"
"מסעדת MILA","https://www.milas.co.il/mila-heb?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03.6989801","In-store"
"מסעדת MOSHIK& של השף מושיק רוט","https://andmoshik.com/he/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0779386111","In-store"
"מסעדת TYO","http://tyo.co.il/","03-9300333","In-store"
"מצמן","https://www.matzman-merutz.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-800-30-44-30","Online"
"מקדונלד'ס","https://www.mcdonalds.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","https://api.whatsapp.com/send?phone=972545738031","Online"
"מקום בלב","http://www.makombalev-raanana.co.il/","09-7741575","In-store"
"מקופלת","https://www.mekupelet.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","077-7804800","Online"
"מקס ברנר","http://www.max-brenner.co.il/","1700-70-88-77","In-store"
"מקס ברנר עד הבית","http://www.max-brenner.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1700-70-88-77","In-store"
"מקסיקנה","https://mexicana.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1700500993","In-store"
"מרינה דלאל","https://www.dallal.co.il/marina","03-5109292","In-store"
"מריפוסה- מסעדת שף בקיסריה","http://www.mariposa.co.il/","04-6265000","In-store"
"מרכז סוזן דלל","http://www.suzannedellal.org.il","03-5105656","In-store"
"מרכז ענבל ברק","","0535232700","In-store"
"מרכז קנדה","http://www.canada-centre.co.il/","04-6950370","In-store"
"מרכז תרבות נא לגעת","http://nalagaat.org.il/","03-6330808","In-store"
"מרקש","http://markash.rest.co.il/","053-9442774","In-store"
"משלוחה","https://www.mishloha.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","072-2722222","Online"
"משק 33","https://meshek33.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0527275357","Online"
"משק אחיה","https://www.m-achiya.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","02-9401313","Online"
"משק הלברכט","http://foodgarden.co.il/","054-9952210","In-store"
"משקפי OBO","https://oboline.com/","054-8935035","In-store"
"משתלת אזור","https://azurflowers.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-5568916","Online"
"מתוק מהלב- אפייה ושוקולד","http://www.matokmealev.co.il/","054-4707072","In-store"
"מתוקה","https://www.metuka.co.il/","072-2202510","In-store"
"מתחת לעץ","https://www.facebook.com/underthetree.tlv/?locale=he_IL","03-6359033","In-store"
"מתפתחים ביחד עם שלומית שוסטר","https://www.digitalbaby10.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-5550073","In-store"
"נאם","http://namrestaurant.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6708050","Online"
"נגינה","https://negina.co.il/","058-7916656","In-store"
"נולה","https://www.noolafood.com/","0546994721","In-store"
"נונו ומימי","https://nonomimi.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-8353600","In-store"
"נירוונה","https://nirvanajapanesespa.com","08-6595666","In-store"
"נעה עינת","https://www.noacakes.co.il/","054-7271122","In-store"
"נעלי נמרוד","https://www.nimrod.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-70-40-33","Online"
"נעלי SAND","https://sandisrael.co.il/","054-3599758","In-store"
"נעם גונן- לגדול דרך תנועה","https://www.noambaby.co.il/","054-6764184","In-store"
"נערי האור","https://www.youth-of-light.org/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-7920993","In-store"
"סאן פדרו","https://www.san-pedro.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","04-641-7324","In-store"
"סאפ יוגה תל אביב","http://www.supyoga.co.il/","0548335122","In-store"
"סבב ברים D-TLV","https://www.d-tlv.com/he","0542264469","In-store"
"סו סושי תל אביב","https://www.sosushievengvirol.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","053-6482222","In-store"
"סולתם","https://soltam.co.il/","03-9392820","In-store"
"סורוצקין","https://jewishdeli.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-2809766","Online"
"סטודיו בעלי המלאכה","http://www.hamelaha.co.il/","03-5370773","In-store"
"סטודיו הדובות","https://linktr.ee/hadubot?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGneYmIGtB0mR5c_lLBOZokggMKx1spyf9_RwxpHzm-poTyzY6u8H2SW5XXEkU_aem_XWauURCE50Q4mwUIo-8GuA&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-6143613","In-store"
"סטודיו הראל","http://studiorl.co.il/","1800-241-241","In-store"
"סטודיו מיכל","http://www.studiomichal.com/","054-5783811","In-store"
"סטודיו עדי ניסני","https://adinissani.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-7986107","Online"
"סיגל זיו","http://www.sigalziv.co.il/","052-2998784","In-store"
"סיונרה","https://sayonara.co.il/#2","1-700-70-70-87","In-store"
"סיורי עיריית תל אביב יפו","http://www.visit-tlv.co.il/","03-5166188","In-store"
"סילו תרבות","https://www.siloculture.com/","0545449505","In-store"
"סימונצ'ו קייקס","https://www.simonchucakes.com/","052-524-3334","In-store"
"סימני דרך","http://www.pathsigns.co.il","072-2149360","In-store"
"סינטה בר אקספרס - חיפה","https://www.sinta-express.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","046661832","In-store"
"סיני קליניק","http://www.siniclinic.co.il","054-7603521","In-store"
"סלון אוכל","https://www.food-salon.com/","050-7536736","In-store"
"סלון יווני","https://www.salonyevani.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","035522525","In-store"
"סלקשיין","https://selection.co.il/","08-6650844","In-store"
"סמארט טויס","https://www.smart-toys.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-2019111","Online"
"סנדלי שורש","https://source-israel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","service@source-israel.co.il","Online"
"סניפים נבחרים ברשת קפה גרג","https://gregcafe.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-70-44-07","In-store"
"סניפים נבחרים ברשת קפה קפה","https://www.cafecafe.co.il/he/home/a/main/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6968038 ","In-store"
"ספא אדמה","https://adamaspa.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","072-3311300","In-store"
"ספא אלמונד","https://argamanspa.co.il/ ","052-9707719 ","In-store"
"ספא בהר - הרי ירושלים","https://spabahar.co.il/","050-5244411","In-store"
"ספא בית אורן","http://www.spabeitoren.com/","0553069466","In-store"
"ספא בית דרך חיים- נמל ת""א","http://www.derech-haim.co.il/?CategoryID=159","03-6044044","In-store"
"ספא בריאה","https://briaa-gilboa.co.il/","050-5503254","In-store"
"ספא גולף קיסריה","http://www.spagolf.co.il","04-6248608","In-store"
"ספא גלי כנרת","https://argamanspa.co.il/ ","052-9707708","In-store"
"ספא דניאל","https://www.hotels-spa.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","073-3777188","In-store"
"ספא דריה נבל דוד גליל ריזורט","https://argamanspa.co.il/ ","0529707712 ","In-store"
"ספא דרך הגוף","http://www.bodycourse.com/","03-5084568","In-store"
"ספא הבריאות שבפינוק","http://www.breeut-pinuk.com","0776214988","In-store"
"ספא הורייזון - שרתון ת""א","https://www.horizonspa.co.il/","03-5757977","In-store"
"ספא ויה מאריס","https://www.davidtower.co.il/spa/","09-8800084","In-store"
"ספא ומלון בוטיק שנקין תל אביב","http://www.shenkinhotel.co.il/","03-600-9400","In-store"
"ספא ומלון ברדיצ'בסקי","http://www.hotelbtlv.co.il/","03-7448888","In-store"
"ספא טומוקו ג'פניס","https://www.tomokojapanese.co.il/","09-9552365","In-store"
"ספא טיפה אחרת","https://www.t-pa.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","072-3955092","Online"
"ספא מטה במדבר","http://www.rol.co.il/sites/mate-midbar/","08-6233370","In-store"
"ספא מנטרה - רעננה","http://www.mantraspa.co.il/","09-7406506","In-store"
"ספא נאות","https://spaneot.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0543444911","In-store"
"ספא נורמן","https://www.thenorman.com/","03-5435530","In-store"
"ספא פנינה בכרמל","http://www.spa-pninabacarmel.co.il/","04-8101199","In-store"
"ספא רוקסון אורבן רמת גן","https://www.roxonsparamatgan.co.il/","9410*","In-store"
"ספא OKOA מלון קמפינסקי","https://argamanspa.co.il/ ","052-9707780","In-store"
"ספא SHEVA","https://www.sheva-spa.co.il/","077-9966777","In-store"
"ספרינקלס בייקרי","https://www.sprinklestlv.com/","054-704-4665","In-store"
"סקאי","https://www.israelsky.com/","053-3581152","In-store"
"סקייטרק","https://www.skytrek.co.il/","054-7711135","In-store"
"סקיני פסטה","http://skinnypasta.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1700702010","Online"
"עגליס","https://agalease-baby.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-9510100","Online"
"עדה לזורגן","https://adahlazorgan.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-6703930","Online"
"עוגאיה","https://www.ayatamam.com/","09-7407128","In-store"
"עולם היין","https://olamhayain.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0546375639","In-store"
"עידו עמית תצפיות כוכבים","https://www.astroido.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","05049747312","In-store"
"עידן אקרו יוגה","","0546696620","In-store"
"עיינות ספיר","https://ayanotsapir.co.il/","054-5538581","In-store"
